0 | Reversible reaction | Chemical reaction | proton-motive force | potential energy 
15894 | ATP synthase | protein complex | lyase | protein enzyme 
15895 | Glycolysis | Exergonic process | isomerase | protein enzyme 
15895 | Glycolysis | Exergonic process | isomerase | enzyme 
15895 | Glycolysis | Exergonic process | isomerase | protein 
15895 | Glycolysis | Exergonic process | isomerase | organic molecule 
15895 | Glycolysis | Exergonic process | isomerase | polymer 
15896 | Glycolysis | Metabolic pathway | isomerase | protein enzyme 
15896 | Glycolysis | Metabolic pathway | isomerase | enzyme 
15896 | Glycolysis | Metabolic pathway | isomerase | protein 
15897 | Glycolysis | Exergonic reaction | isomerase | protein enzyme 
15897 | Glycolysis | Exergonic reaction | isomerase | enzyme 
15897 | Glycolysis | Exergonic reaction | isomerase | protein 
15898 | Glycolysis | Metabolism | isomerase | protein enzyme 
15898 | Glycolysis | Metabolism | isomerase | enzyme 
15898 | Glycolysis | Metabolism | isomerase | protein 
15899 | Glycolysis | Catabolic pathway | isomerase | protein enzyme 
15900 | Glycolysis | Anaerobic metabolism | isomerase | protein enzyme 
15901 | capsule | cellular structure | fungus | eukaryote 
15902 | nonpolar substance | hydrophobic substance | chlorophyll B | accessory pigment 
15902 | nonpolar substance | hydrophobic substance | chlorophyll B | chlorophyll 
15903 | substrate | reactant | neutral solution | aqueous solution 
15904 | polar covalent bond | covalent bond | pyruvic acid | carboxylic acid 
15905 | acidic amino acid | hydrophilic amino acid | Polymer breakdown | Catabolic pathway 
15905 | acidic amino acid | hydrophilic amino acid | Polymer breakdown | Exergonic reaction 
15905 | acidic amino acid | hydrophilic amino acid | Polymer breakdown | Metabolic pathway 
15906 | eukaryotic cilium | cilium | Anaerobic metabolism | Metabolism 
15907 | C4-photosynthesis | Anabolic pathway | Fermentation | Anaerobic metabolism 
15907 | C4-photosynthesis | Anabolic pathway | Fermentation | Catabolic pathway 
15907 | C4-photosynthesis | Anabolic pathway | Fermentation | Metabolism 
15907 | C4-photosynthesis | Anabolic pathway | Fermentation | Exergonic reaction 
15907 | C4-photosynthesis | Anabolic pathway | Fermentation | Metabolic pathway 
15908 | C4-photosynthesis | Photosynthesis | Fermentation | Anaerobic metabolism 
15908 | C4-photosynthesis | Photosynthesis | Fermentation | Catabolic pathway 
15909 | amine | compound | Cellular respiration | Aerobic metabolism 
15909 | amine | compound | Cellular respiration | Catabolic pathway 
15909 | amine | compound | Cellular respiration | Metabolism 
15909 | amine | compound | Cellular respiration | Exergonic reaction 
15909 | amine | compound | Cellular respiration | Metabolic pathway 
15910 | prokaryote | organism | alpha tubulin | polypeptide 
15910 | prokaryote | organism | alpha tubulin | organic molecule 
15910 | prokaryote | organism | alpha tubulin | polymer 
15911 | prokaryotic flagellum | flagellum | Reverse reaction | Chemical reaction 
15912 | covalent bond | chemical bond | Redox reaction | Chemical reaction 
15913 | Metabolic pathway | Chemical reaction | plastid | organelle 
15913 | Metabolic pathway | Chemical reaction | plastid | cellular structure 
15914 | glyoxysome | organelle | Passive transport | Diffusion 
15914 | glyoxysome | organelle | Passive transport | Spontaneous change 
15915 | glyoxysome | peroxisome | Passive transport | Diffusion 
15916 | prokaryote | organism | carbohydrate side chain | oligosaccharide 
15916 | prokaryote | organism | carbohydrate side chain | carbohydrate 
15917 | chemoautotroph | autotroph | vitamin | organic molecule 
15918 | phosphate group | functional group | diacylglycerol | phospholipid 
15919 | aquaporin | channel protein | ionic attraction | chemical bond 
15920 | multicellular organism | organism | oxaloacetate | carboxylic acid 
15921 | polar molecule | compound | secondary lysosome | lysosome 
15921 | polar molecule | compound | secondary lysosome | organelle 
15922 | polar molecule | hydrophilic compound | secondary lysosome | lysosome 
15923 | polar molecule | molecule | secondary lysosome | lysosome 
15924 | Glycolysis | Metabolic pathway | cis trans isomer | isomer 
15924 | Glycolysis | Metabolic pathway | cis trans isomer | molecule 
15925 | Glycolysis | Exergonic reaction | cis trans isomer | isomer 
15925 | Glycolysis | Exergonic reaction | cis trans isomer | molecule 
15926 | Glycolysis | Metabolism | cis trans isomer | isomer 
15926 | Glycolysis | Metabolism | cis trans isomer | molecule 
15927 | Glycolysis | Catabolic pathway | cis trans isomer | isomer 
15928 | Glycolysis | Anaerobic metabolism | cis trans isomer | isomer 
15929 | optical isomer | isomer | chemoautotroph | autotroph 
15930 | hydroxide ion | anion | chlorophyll B | accessory pigment 
15930 | hydroxide ion | anion | chlorophyll B | chlorophyll 
15931 | hydroxide ion | complex ion | chlorophyll B | accessory pigment 
15931 | hydroxide ion | complex ion | chlorophyll B | chlorophyll 
15932 | granum | cellular structure | law of mass action | scientific law 
15933 | Hydrolysis | Exergonic process | unsaturated fatty acid | fatty acid 
15933 | Hydrolysis | Exergonic process | unsaturated fatty acid | hydrophobic compound 
15933 | Hydrolysis | Exergonic process | unsaturated fatty acid | carboxylic acid 
15934 | Hydrolysis | Chemical reaction | unsaturated fatty acid | fatty acid 
15934 | Hydrolysis | Chemical reaction | unsaturated fatty acid | hydrophobic compound 
15934 | Hydrolysis | Chemical reaction | unsaturated fatty acid | carboxylic acid 
15935 | Hydrolysis | Exergonic reaction | unsaturated fatty acid | fatty acid 
15936 | tyrosine | polar amino acid | organelle | cellular structure 
15937 | lyase | protein enzyme | third electron-shell | electron-shell 
15938 | acetaldehyde | molecule | ultraviolet ray | light 
15938 | acetaldehyde | molecule | ultraviolet ray | electromagnetic energy 
15938 | acetaldehyde | molecule | ultraviolet ray | radiation 
15939 | acetaldehyde | organic molecule | ultraviolet ray | light 
15939 | acetaldehyde | organic molecule | ultraviolet ray | electromagnetic energy 
15940 | acetaldehyde | aldehyde | ultraviolet ray | light 
15941 | transition state intermediate | molecule | glycolipid | lipid 
15941 | transition state intermediate | molecule | glycolipid | amphipathic molecule 
15942 | unsaturated fatty acid | fatty acid | photosystem II | photosystem 
15943 | hydrophobic amino acid | amino acid | photoautotroph | autotroph 
15944 | strong base | base | multiprotein complex-I | protein complex 
15945 | fatty acid | carboxylic acid | capsule | cellular structure 
15946 | fatty acid | hydrophobic compound | capsule | cellular structure 
15947 | carbonyl group | functional group | ethyl alcohol | alcohol 
15948 | thylakoid | cellular structure | Fermentation | Anaerobic metabolism 
15948 | thylakoid | cellular structure | Fermentation | Catabolic pathway 
15949 | polysaccharide | organic molecule | vacuole | organelle 
15949 | polysaccharide | organic molecule | vacuole | vesicle 
15949 | polysaccharide | organic molecule | vacuole | cellular structure 
15950 | polysaccharide | polymer | vacuole | organelle 
15950 | polysaccharide | polymer | vacuole | vesicle 
15951 | polysaccharide | carbohydrate | vacuole | organelle 
15951 | polysaccharide | carbohydrate | vacuole | vesicle 
15952 | cilium | cellular structure | cytochrome A3 | cytochrome 
15953 | vacuole | vesicle | chlorophyll A | chlorophyll 
15954 | vacuole | organelle | chlorophyll A | chlorophyll 
15955 | Crassulacean acid metabolism | Anabolic pathway | glycoprotein | protein 
15955 | Crassulacean acid metabolism | Anabolic pathway | glycoprotein | amphipathic molecule 
15955 | Crassulacean acid metabolism | Anabolic pathway | glycoprotein | organic molecule 
15955 | Crassulacean acid metabolism | Anabolic pathway | glycoprotein | polymer 
15955 | Crassulacean acid metabolism | Anabolic pathway | glycoprotein | molecule 
15956 | Crassulacean acid metabolism | Photosynthesis | glycoprotein | protein 
15956 | Crassulacean acid metabolism | Photosynthesis | glycoprotein | amphipathic molecule 
15957 | globular protein | protein | water soluble protein | protein 
15957 | globular protein | protein | water soluble protein | organic molecule 
15957 | globular protein | protein | water soluble protein | polymer 
15958 | globular protein | water soluble protein | water soluble protein | protein 
15959 | microtubule organizing center | cellular structure | disulfide bond | single bond 
15959 | microtubule organizing center | cellular structure | disulfide bond | nonpolar covalent bond 
15960 | competitive inhibitor | inhibitor | nucleoside | organic molecule 
15960 | competitive inhibitor | inhibitor | nucleoside | molecule 
15961 | competitive inhibitor | enzyme inhibitor | nucleoside | organic molecule 
15962 | Alcohol fermentation by yeast | Fermentation | ketone | organic molecule 
15962 | Alcohol fermentation by yeast | Fermentation | ketone | molecule 
15963 | Alcohol fermentation by yeast | Alcohol fermentation | ketone | organic molecule 
15964 | kinetic energy | energy | saturated fatty acid | fatty acid 
15965 | potassium | atom | cotransporter | carrier protein 
15965 | potassium | atom | cotransporter | transport membrane protein 
15966 | O2-gas | gas substance | cytosine | pyrimidine 
15967 | cytoskeleton | cellular structure | Reversible non competitive inhibition | Non competitive inhibition 
15968 | second electron-shell | electron-shell | secondary lysosome | lysosome 
15969 | hydrophobic compound | compound | hypertonic solution | aqueous solution 
15970 | Chemical work | Work | disaccharide | sugar 
15970 | Chemical work | Work | disaccharide | carbohydrate 
15971 | carotenoid | organic molecule | peroxisome | organelle 
15971 | carotenoid | organic molecule | peroxisome | cellular structure 
15972 | carotenoid | accessory pigment | peroxisome | organelle 
15973 | Anabolism | Metabolism | Cellular respiration | Aerobic metabolism 
15973 | Anabolism | Metabolism | Cellular respiration | Catabolic pathway 
15974 | Anabolism | Endergonic process | Cellular respiration | Aerobic metabolism 
15974 | Anabolism | Endergonic process | Cellular respiration | Catabolic pathway 
15975 | Phosphorylation | Chemical reaction | P680 | chlorophyll A 
15975 | Phosphorylation | Chemical reaction | P680 | chlorophyll 
15976 | nucleolus | cellular structure | capsule | cellular structure 
15977 | Crassulacean acid metabolism | Anabolic pathway | electromagnetic energy | radiation 
15977 | Crassulacean acid metabolism | Anabolic pathway | electromagnetic energy | energy 
15978 | Crassulacean acid metabolism | Photosynthesis | electromagnetic energy | radiation 
15979 | glycosidic linkage | polar covalent bond | strong acid | acid 
15980 | uracil | nitrogenous base | alpha tubulin | polypeptide 
15980 | uracil | nitrogenous base | alpha tubulin | organic molecule 
15980 | uracil | nitrogenous base | alpha tubulin | polymer 
15981 | uracil | pyrimidine | alpha tubulin | polypeptide 
15982 | galactose | hexose | eukaryote | organism 
15983 | cholesterol | steroid | activation energy | energy 
15984 | cholesterol | amphipathic molecule | activation energy | energy 
