0 | gated Channel | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4804 | aquaporin | phospholipid bilayer | integrin | phospholipid bilayer 
4805 | microfibril | transport vesicle | tight junction | phospholipid bilayer 
4806 | stroma | chloroplast | carrier protein | phospholipid bilayer 
4807 | stroma | chloroplast | carrier protein | phospholipid bilayer 
4808 | desmosome | phospholipid bilayer | gated Channel | phospholipid bilayer 
4809 | cytoplasmic protein kinase | cytoplasm | carrier protein | phospholipid bilayer 
4810 | ATP synthase | phospholipid bilayer | aquaporin | phospholipid bilayer 
4811 | hydration shell | water | stroma | chloroplast 
4812 | gated Channel | phospholipid bilayer | stroma | chloroplast 
4813 | integral protein | phospholipid bilayer | hydration shell | water 
4814 | integral protein | phospholipid bilayer | integral protein | phospholipid bilayer 
4815 | cytoplasmic protein kinase | cytoplasm | sodium-potassium pump | phospholipid bilayer 
4816 | hydration shell | water | transport membrane protein | phospholipid bilayer 
4817 | integral protein | phospholipid bilayer | proton pump | phospholipid bilayer 
4818 | carrier protein | phospholipid bilayer | desmosome | phospholipid bilayer 
4819 | cytoplasmic protein kinase | cytoplasm | cytoplasmic protein kinase | cytoplasm 
4820 | tight junction | phospholipid bilayer | gated Channel | phospholipid bilayer 
4821 | microfibril | transport vesicle | integral protein | phospholipid bilayer 
4822 | hydration shell | water | carrier protein | phospholipid bilayer 
4823 | proton pump | phospholipid bilayer | integrin | phospholipid bilayer 
4824 | stroma | chloroplast | microfibril | transport vesicle 
4825 | ATP synthase | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4826 | integral protein | phospholipid bilayer | integral protein | phospholipid bilayer 
4827 | proton pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
4828 | microfibril | transport vesicle | sodium-potassium pump | phospholipid bilayer 
4829 | microfibril | transport vesicle | microfibril | transport vesicle 
4830 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4831 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4832 | hydration shell | water | cytoplasmic protein kinase | cytoplasm 
4833 | gated Channel | phospholipid bilayer | aquaporin | phospholipid bilayer 
4834 | integral protein | phospholipid bilayer | proton pump | phospholipid bilayer 
4835 | gated Channel | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4836 | integrin | phospholipid bilayer | stroma | chloroplast 
4837 | ATP synthase | phospholipid bilayer | aquaporin | phospholipid bilayer 
4838 | cytoplasmic protein kinase | cytoplasm | gated Channel | phospholipid bilayer 
4839 | aquaporin | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4840 | cytoplasmic protein kinase | cytoplasm | aquaporin | phospholipid bilayer 
4841 | carrier protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4842 | cytoplasmic protein kinase | cytoplasm | hydration shell | water 
4843 | carrier protein | phospholipid bilayer | integrin | phospholipid bilayer 
4844 | hydration shell | water | stroma | chloroplast 
4845 | hydration shell | water | integrin | phospholipid bilayer 
4846 | integral protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
4847 | desmosome | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4848 | integrin | phospholipid bilayer | gated Channel | phospholipid bilayer 
4849 | sodium-potassium pump | phospholipid bilayer | integral protein | phospholipid bilayer 
4850 | gated Channel | phospholipid bilayer | carrier protein | phospholipid bilayer 
4851 | microfibril | transport vesicle | cytoplasmic protein kinase | cytoplasm 
4852 | hydration shell | water | desmosome | phospholipid bilayer 
4853 | hydration shell | water | gated Channel | phospholipid bilayer 
4854 | hydration shell | water | aquaporin | phospholipid bilayer 
4855 | ATP synthase | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4856 | carrier protein | phospholipid bilayer | integrin | phospholipid bilayer 
4857 | tight junction | phospholipid bilayer | desmosome | phospholipid bilayer 
4858 | integrin | phospholipid bilayer | proton pump | phospholipid bilayer 
4859 | tight junction | phospholipid bilayer | desmosome | phospholipid bilayer 
4860 | transport membrane protein | phospholipid bilayer | stroma | chloroplast 
4861 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
4862 | ATP synthase | phospholipid bilayer | hydration shell | water 
4863 | stroma | chloroplast | gated Channel | phospholipid bilayer 
4864 | integral protein | phospholipid bilayer | integral protein | phospholipid bilayer 
4865 | transport membrane protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4866 | hydration shell | water | integral protein | phospholipid bilayer 
4867 | sodium-potassium pump | phospholipid bilayer | microfibril | transport vesicle 
4868 | cytoplasmic protein kinase | cytoplasm | carrier protein | phospholipid bilayer 
4869 | carrier protein | phospholipid bilayer | microfibril | transport vesicle 
4870 | integrin | phospholipid bilayer | proton pump | phospholipid bilayer 
4871 | gated Channel | phospholipid bilayer | stroma | chloroplast 
4872 | integrin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4873 | hydration shell | water | hydration shell | water 
4874 | ATP synthase | phospholipid bilayer | gated Channel | phospholipid bilayer 
4875 | transport membrane protein | phospholipid bilayer | integrin | phospholipid bilayer 
4876 | cytoplasmic protein kinase | cytoplasm | integrin | phospholipid bilayer 
4877 | integral protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4878 | integrin | phospholipid bilayer | hydration shell | water 
4879 | integrin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4880 | tight junction | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4881 | proton pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
4882 | aquaporin | phospholipid bilayer | carrier protein | phospholipid bilayer 
4883 | integral protein | phospholipid bilayer | integral protein | phospholipid bilayer 
4884 | microfibril | transport vesicle | transport membrane protein | phospholipid bilayer 
4885 | hydration shell | water | transport membrane protein | phospholipid bilayer 
4886 | microfibril | transport vesicle | tight junction | phospholipid bilayer 
4887 | transport membrane protein | phospholipid bilayer | integral protein | phospholipid bilayer 
4888 | sodium-potassium pump | phospholipid bilayer | desmosome | phospholipid bilayer 
4889 | integrin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4890 | transport membrane protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
4891 | microfibril | transport vesicle | tight junction | phospholipid bilayer 
4892 | stroma | chloroplast | aquaporin | phospholipid bilayer 
4893 | microfibril | transport vesicle | integral protein | phospholipid bilayer 
4894 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4895 | hydration shell | water | desmosome | phospholipid bilayer 
4896 | stroma | chloroplast | transport membrane protein | phospholipid bilayer 
4897 | cytoplasmic protein kinase | cytoplasm | proton pump | phospholipid bilayer 
4898 | microfibril | transport vesicle | hydration shell | water 
4899 | proton pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
4900 | cytoplasmic protein kinase | cytoplasm | microfibril | transport vesicle 
4901 | cytoplasmic protein kinase | cytoplasm | carrier protein | phospholipid bilayer 
4902 | sodium-potassium pump | phospholipid bilayer | hydration shell | water 
4903 | integrin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4904 | integrin | phospholipid bilayer | hydration shell | water 
4905 | desmosome | phospholipid bilayer | microfibril | transport vesicle 
4906 | gated Channel | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4907 | aquaporin | phospholipid bilayer | gated Channel | phospholipid bilayer 
4908 | integrin | phospholipid bilayer | aquaporin | phospholipid bilayer 
4909 | gated Channel | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4910 | aquaporin | phospholipid bilayer | desmosome | phospholipid bilayer 
4911 | gated Channel | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4912 | proton pump | phospholipid bilayer | proton pump | phospholipid bilayer 
4913 | stroma | chloroplast | cytoplasmic protein kinase | cytoplasm 
4914 | sodium-potassium pump | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4915 | transport membrane protein | phospholipid bilayer | desmosome | phospholipid bilayer 
4916 | cytoplasmic protein kinase | cytoplasm | gated Channel | phospholipid bilayer 
4917 | carrier protein | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4918 | stroma | chloroplast | ATP synthase | phospholipid bilayer 
4919 | integrin | phospholipid bilayer | gated Channel | phospholipid bilayer 
4920 | tight junction | phospholipid bilayer | hydration shell | water 
4921 | microfibril | transport vesicle | microfibril | transport vesicle 
4922 | transport membrane protein | phospholipid bilayer | desmosome | phospholipid bilayer 
4923 | desmosome | phospholipid bilayer | integrin | phospholipid bilayer 
4924 | stroma | chloroplast | microfibril | transport vesicle 
4925 | ATP synthase | phospholipid bilayer | tight junction | phospholipid bilayer 
4926 | stroma | chloroplast | stroma | chloroplast 
4927 | hydration shell | water | stroma | chloroplast 
4928 | desmosome | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4929 | gated Channel | phospholipid bilayer | desmosome | phospholipid bilayer 
4930 | ATP synthase | phospholipid bilayer | integrin | phospholipid bilayer 
4931 | integrin | phospholipid bilayer | stroma | chloroplast 
4932 | aquaporin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4933 | tight junction | phospholipid bilayer | tight junction | phospholipid bilayer 
4934 | proton pump | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
4935 | integral protein | phospholipid bilayer | desmosome | phospholipid bilayer 
4936 | microfibril | transport vesicle | tight junction | phospholipid bilayer 
4937 | proton pump | phospholipid bilayer | integral protein | phospholipid bilayer 
4938 | proton pump | phospholipid bilayer | tight junction | phospholipid bilayer 
4939 | proton pump | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
4940 | microfibril | transport vesicle | cytoplasmic protein kinase | cytoplasm 
4941 | tight junction | phospholipid bilayer | aquaporin | phospholipid bilayer 
4942 | transport membrane protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4943 | proton pump | phospholipid bilayer | hydration shell | water 
4944 | stroma | chloroplast | transport membrane protein | phospholipid bilayer 
4945 | cytoplasmic protein kinase | cytoplasm | gated Channel | phospholipid bilayer 
4946 | integral protein | phospholipid bilayer | desmosome | phospholipid bilayer 
4947 | gated Channel | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
4948 | carrier protein | phospholipid bilayer | integrin | phospholipid bilayer 
4949 | gated Channel | phospholipid bilayer | gated Channel | phospholipid bilayer 
4950 | microfibril | transport vesicle | proton pump | phospholipid bilayer 
4951 | ATP synthase | phospholipid bilayer | desmosome | phospholipid bilayer 
4952 | transport membrane protein | phospholipid bilayer | ATP synthase | phospholipid bilayer 
4953 | transport membrane protein | phospholipid bilayer | stroma | chloroplast 
4954 | aquaporin | phospholipid bilayer | carrier protein | phospholipid bilayer 
4955 | microfibril | transport vesicle | integral protein | phospholipid bilayer 
